model,product_id,rouge1,rouge2,rougeL,bleu,bert_precision,bert_recall,bert_f1
pegasus,B0075WWDKQ,0.07017543859649122,0.0,0.03508771929824561,0.0,0.41803494095802307,0.44608479738235474,0.4316045939922333
pegasus,B0061YK3O2,0.15873015873015875,0.06557377049180328,0.15873015873015875,0.0227457437979845,0.4660471975803375,0.5222965478897095,0.49257123470306396
pegasus,B001EX9LGQ,0.03571428571428572,0.0,0.03571428571428572,0.006609918289641935,0.3634856343269348,0.4924936294555664,0.41826796531677246
pegasus,B0062I862I,0.0,0.0,0.0,0.0,0.42764103412628174,0.5356638431549072,0.47559571266174316
pegasus,B004QDMY42,0.125,0.0,0.09375,0.009903417847796372,0.38957324624061584,0.453037828207016,0.4189155101776123
pegasus,B002GURBZ4,0.11320754716981132,0.039215686274509796,0.11320754716981132,0.013379235219745432,0.3541151285171509,0.3428330719470978,0.3483828008174896
pegasus,B001GVISJW,0.013986013986013988,0.0,0.013986013986013988,0.0026287405681162308,0.22688183188438416,0.3856884241104126,0.28570011258125305
pegasus,B004X8TK8I,0.1694915254237288,0.0,0.13559322033898305,0.01052923339622545,0.34214696288108826,0.48361191153526306,0.4007619023323059
pegasus,B003JYEL2W,0.06896551724137931,0.0,0.06896551724137931,0.0070027739171006995,0.3043023645877838,0.3437747657299042,0.3228364884853363
pegasus,B001EO67V2,0.06666666666666667,0.013513513513513516,0.06666666666666667,0.0031762182963841314,0.2561761140823364,0.4078029692173004,0.3146767318248749
mistral,B0075WWDKQ,0.109375,0.0,0.04687500000000001,0.00346062559718625,0.42828184366226196,0.47887909412384033,0.45216941833496094
mistral,B0061YK3O2,0.08888888888888889,0.0,0.06666666666666667,0.00600452721165399,0.46229469776153564,0.5102986097335815,0.4851120114326477
mistral,B001EX9LGQ,0.008368200836820083,0.0,0.008368200836820083,0.0013167838203456766,0.23502716422080994,0.3790336847305298,0.29014456272125244
mistral,B0062I862I,0.012987012987012988,0.0,0.012987012987012988,0.0013910464235657456,0.25445571541786194,0.5346819162368774,0.3448140621185303
mistral,B004QDMY42,0.03264094955489614,0.008928571428571428,0.029673590504451043,0.0019938083791698467,0.24006187915802002,0.5086824893951416,0.3261868357658386
mistral,B002GURBZ4,0.1090909090909091,0.018518518518518517,0.1090909090909091,0.008847708775780885,0.43315234780311584,0.501899778842926,0.4649987816810608
mistral,B001GVISJW,0.08547008547008547,0.017391304347826087,0.05128205128205129,0.0031997419885758365,0.44862204790115356,0.5764672756195068,0.5045725107192993
mistral,B004X8TK8I,0.029220779220779217,0.006514657980456026,0.022727272727272728,0.0016106211679876481,0.2645385265350342,0.5400180816650391,0.3551163077354431
mistral,B003JYEL2W,0.08411214953271029,0.009433962264150943,0.05607476635514018,0.004415064825691672,0.2708628177642822,0.3941611647605896,0.3210819661617279
mistral,B001EO67V2,0.11538461538461539,0.07843137254901962,0.11538461538461539,0.015126360242232706,0.45615440607070923,0.5650243759155273,0.50478595495224
llama,B0075WWDKQ,0.11188811188811189,0.0,0.08391608391608392,0.0031261169871001165,0.40766075253486633,0.4775136113166809,0.4398309588432312
llama,B0061YK3O2,0.10144927536231883,0.029411764705882353,0.08695652173913043,0.0034855336947198865,0.45322906970977783,0.5674678087234497,0.5039555430412292
llama,B001EX9LGQ,0.006872852233676975,0.0,0.006872852233676975,0.001076272262736585,0.2387431263923645,0.4010668396949768,0.2993137240409851
llama,B0062I862I,0.005865102639296188,0.0,0.005865102639296188,0.0011348181429754183,0.24714460968971252,0.5326931476593018,0.33764007687568665
llama,B004QDMY42,0.030726256983240226,0.008403361344537816,0.027932960893854747,0.002645817942249083,0.25146031379699707,0.5222611427307129,0.33947089314460754
llama,B002GURBZ4,0.08695652173913043,0.02941176470588235,0.07246376811594203,0.006971067389439773,0.3881657123565674,0.4630054235458374,0.4222954213619232
llama,B001GVISJW,0.05555555555555556,0.018867924528301886,0.05555555555555556,0.0034834959820232276,0.45130547881126404,0.5597766041755676,0.49972251057624817
llama,B004X8TK8I,0.023494860499265788,0.005891016200294551,0.02055800293685756,0.0015026248402469535,0.25155046582221985,0.521263837814331,0.33934199810028076
llama,B003JYEL2W,0.06143344709897611,0.013745704467353952,0.04778156996587031,0.003722110786159401,0.26416072249412537,0.40444642305374146,0.3195863664150238
llama,B001EO67V2,0.13008130081300814,0.06611570247933886,0.0975609756097561,0.013434821107964925,0.4338223338127136,0.5575546026229858,0.48796704411506653
